verb,russian,english
être,быть,be
avoir,иметь,have
aller,идти,go
faire,делать,do
dire,говорить,say
pouvoir,мочь,can
vouloir,хотеть,want
savoir,знать,know
voir,видеть,see
devoir,должен,must
venir,приходить,come
suivre,следовать,follow
parler,говорить,speak
prendre,брать,take
croire,верить,believe
aimer,любить,love
falloir,нужно,need
passer,проводить,spend (time)
penser,думать,think
attendre,ждать,wait
trouver,находить,find
laisser,позволять,let
arriver,приходить,arrive
donner,давать,give
regarder,смотреть,look at
appeler,звонить,call
partir,уходить,leave
mettre,ставить,put
rester,оставаться,stay
arrêter,останавливаться,stop
connaître,знать,know
demander,спрашивать,ask
comprendre,понимать,understand
sortir,выходить,go out
entendre,слышать,hear
chercher,искать,look for
aider,помогать,help
essayer,пробовать,try
revenir,возвращаться,come back
jouer,играть,play
finir,заканчивать,finish
perdre,терять,lose
sentir,чувствовать,feel
rentrer,возвращаться,go home
vivre,жить,live
rendre,возвращать,return
tenir,держать,hold
oublier,забывать,forget
travailler,работать,work
manger,есть,eat
entrer,входить,enter
devenir,становиться,become
commencer,начинать,start
payer,платить,pay
tirer,тянуть,pull
ouvrir,открывать,open
changer,изменяться,change
excuser,извинять,excuse
dormir,спать,sleep
occuper,заниматься,occupy
marcher,идти,walk
envoyer,отправлять,send
apprendre,учить,learn
boire,пить,drink
garder,хранить,keep
montrer,показывать,show
asseoir,сажать,sit
porter,носить,wear
prier,просить,pray
servir,служить,serve
écrire,писать,write
retrouver,найти,find again
gagner,выигрывать,win
acheter,покупать,buy
rappeler,напоминать,remind
lire,читать,read
monter,подниматься,go up
quitter,покидать,leave
emmener,брать с собой,take along
toucher,касаться,touch
continuer,продолжать,continue
raconter,рассказывать,tell
répondre,отвечать,answer
sauver,спасать,save
rencontrer,встречать,meet
fermer,закрывать,close
valoir,стоить,be worth
compter,считать,count
bouger,двигаться,move
apporter,приносить,bring
décider,решать,decide
vendre,продавать,sell
expliquer,объяснять,explain
agir,действовать,act
adorer,обожать,adore
recevoir,получать,receive
utiliser,использовать,use
coucher,класть,lay
préférer,предпочитать,prefer
offrir,предлагать,offer
préparer,готовить,prepare
choisir,выбирать,choose
conduire,водить,drive
chanter,петь,sing
présenter,представлять,present
accepter,принимать,accept
refuser,отказываться,refuse
terminer,заканчивать,finish
amuser,развлекать,amuse
intéresser,интересовать,interest
rire,смеяться,laugh
pardonner,прощать,forgive
embrasser,целовать,kiss
danser,танцевать,dance
détester,ненавидеть,hate
maintenir,поддерживать,maintain
supposer,предполагать,suppose
épouser,жениться (вступить в брак),marry
approcher,приближаться,approach
craindre,бояться,fear
crier,кричать,shout
inviter,приглашать,invite
arranger,устраивать,arrange
remercier,благодарить,thank
répéter,повторять,repeat
signer,подписывать,sign
accompagner,сопровождать,accompany
oser,сметь,dare
permettre,позволять,allow
annuler,отменять,cancel
laver,стирать,wash
se plaindre,жаловаться,complain
faire du mal,делать вред,cause harm
avoir besoin,нуждаться,need
épeler,произносить по буквам,spell
traduire,переводить,translate
éteindre,гасить,extinguish
allumer,зажигать,light
se réveiller,просыпаться,wake up
ajouter,добавлять,add
goûter,пробовать на вкус,taste
coûter,стоить,cost
cuire,готовить (пищу),cook
décrire,описывать,describe
effacer,стирать,erase
enseigner,обучать,teach
nettoyer,чистить,clean
noter,замечать,note
reconnaître,узнавать,recognize
remplacer,заменять,replace
visiter,посещать,visit
souhaiter,желать,wish
tomber,падать,fall
acclamer,приветствовать,applaud
accorder,предоставлять,grant
accourir,поспешать,hurry
accrocher,подвешивать,hang
accueillir,принимать,welcome
acquérir,приобретать,acquire
adjoindre,добавлять,add
admirer,восхищаться,admire
annoncer,объявлять,announce
arracher,вырывать,pull out
augmenter,увеличиваться,increase
avoir raison,быть правым,be right
blaguer,шутить,joke
causer,вызывать,cause
cheminer,идти,go
confondre,путать,confuse
conseiller,советовать,advise
dépenser,тратить,spend
emprunter,занимать,borrow
endormir,засыпать,fall asleep
éviter,избегать,avoid
féliciter,поздравлять,congratulate
geindre,стонать,groan
informer,информировать,inform
nommer,называть,name
louer,арендовать,rent
ressentir,ощущать,feel
secouer,трясти,shake
soutenir,поддерживать,support
jurer,клясться,swear
méprendre,заблуждаться,misunderstand
mélanger,смешивать,mix
reconduire,провожать,escort
rejeter,отвергать,reject
gérer,управлять,manage
refléter,отражать,reflect
presser,нажимать,press
répandre,распространять,spread
frapper,бить,strike
remettre,передавать,hand over
revêtir,надевать,put on
enregistrer,записывать,record
pêcher,ловить рыбу,fish
rougir,краснеть,blush
tousser,кашлять,cough
pleurer,плакать,cry
